"fips","POP","DENSITY","medianAge","MedianHInc","per_dem","per_gop"
39149,48627,119.27277715,39.4,61042,0.179273041973,0.785287754219
39151,371574,645.85945919,41.9,52190,0.389663365873,0.563856310134
39153,541918,1312.7429586,40.9,55448,0.519818994387,0.438234435078
39155,198627,321.38273771,44.2,45975,0.447843695853,0.51185781255
39157,92176,162.4441956,41,51170,0.296722211136,0.651192376771
39159,57835,133.95488205,38.4,82775,0.283797535145,0.663362605058
39161,28281,69.120791394,40.9,52754,0.196333922261,0.760306242638
39163,13139,31.863245208,42.2,42114,0.246986834786,0.704431670684
39165,232173,578.6250084,39.3,83330,0.289145237803,0.664720709997
39167,60155,95.185869079,44.1,48572,0.270453918322,0.686430739514
39169,115967,209.00004711,38.5,56348,0.302162718847,0.651328527291
39171,36804,87.49112407,41.2,49491,0.253099539497,0.691108749557
39173,130696,211.75746003,34.8,59789,0.424486650505,0.509480308893
39175,21935,53.91231455,42.1,52940,0.238938053097,0.706617929973
40001,22082,38.491891515,37.6,32986,0.212430426716,0.734848484848
40003,5754,6.6408539527,42.9,59569,0.0957446808511,0.855939716312
40005,13838,14.185267517,40.6,38821,0.15893642543,0.813274690124
40007,5319,2.9310829533,40.3,51996,0.0786767992848,0.888243182834
40009,21709,24.072511717,35.7,48725,0.12724133351,0.835037853633
40011,9485,10.216242528,42.4,50391,0.187450566834,0.760348009491
40013,47192,52.174188208,37.5,43245,0.20275862069,0.758548094374
40015,28977,22.676603163,37.3,44588,0.258997429306,0.693337617823
40017,144447,161.09772257,35.9,71157,0.211149321267,0.72342081448
40019,48177,58.59668185,38.2,49216,0.215939135596,0.741973776507
40021,48675,64.960603089,35.1,40936,0.330866743495,0.606053254079
40023,14668,19.040524476,42,32129,0.196346189334,0.775419819155
40025,2153,1.1734239251,43,46071,0.0649953574745,0.893221912721
40027,281669,522.68158253,33.9,62863,0.354810383623,0.571401130564
40029,5520,10.683549683,41.6,40000,0.171750940242,0.790639364814
40031,120422,112.61868723,33,52227,0.35192591681,0.589250553778
40033,5776,9.1297903308,42.9,51623,0.162951575711,0.789392774789
40035,14306,18.790214687,42.3,41701,0.216164762894,0.740567670474
40037,71604,75.359234694,40.2,49578,0.202667963593,0.748245674981
40039,29036,29.364283428,31,48884,0.199601177476,0.74237964106
40041,42733,57.893474073,46.7,39742,0.210841836735,0.752295918367
40043,4894,4.8965234001,40.2,50037,0.0988423864648,0.874443455031
40045,3952,3.2090584626,44.1,52705,0.0848849945235,0.881708652793
40047,60913,57.547015161,36,51332,0.20242485709,0.737506914992
40049,27811,34.674328158,39.2,45066,0.175861741525,0.782736682176
40051,55551,50.477497275,38.9,58177,0.174237318596,0.776969043447
40053,4326,4.322233795,43.3,56287,0.130454545455,0.830454545455
40055,5821,9.1049213235,41.2,38322,0.170358649789,0.78164556962
40057,2664,4.9591009248,41,41607,0.229743589744,0.732307692308
40059,3797,3.6544161662,38,50114,0.0882154882155,0.880134680135
40061,12668,21.972980212,40.6,39375,0.186311787072,0.780946345585
40063,13335,16.572438213,39,39265,0.212375690608,0.748508287293
40065,24949,31.083256144,34.2,45757,0.188700999231,0.764668203946
40067,6123,8.068982216,41.9,37319,0.155650319829,0.81236673774
40069,10949,17.029530132,39.8,40077,0.195451137216,0.770057485629
40071,44161,48.020069301,38.6,45426,0.222328073831,0.724501339684
40073,15816,17.611327527,36.2,60656,0.127878490936,0.841254287114
40075,8729,8.5987833754,43.1,38209,0.21954714818,0.743192891946
40077,10231,14.169408708,41.3,42363,0.196790123457,0.763950617284
40079,49980,31.448151853,39.4,39769,0.188673760102,0.775975347404
40081,34920,36.66833863,41.2,49362,0.173059067209,0.774087565174
40083,47291,63.577353782,37.8,62035,0.223717542749,0.718439940891
40085,10134,19.71614935,40.1,52007,0.194085027726,0.771058885661
40087,39985,70.061758052,38.4,64492,0.17180355128,0.780984619039
40089,32703,17.671185613,38.8,35829,0.167989541507,0.806984779158
40091,19815,32.037379178,47.3,37086,0.266649912038,0.691254083941
40093,7644,8.0042873703,41.1,54118,0.0912032950868,0.864960282436
40095,16806,45.230961592,42.6,45828,0.199562602515,0.765810096592
40097,41107,62.722175578,40.3,48853,0.217858961303,0.735106924644
40099,13953,33.514456795,43,51490,0.196561085973,0.755294117647
40101,68362,84.358048027,37.9,42689,0.32939279957,0.621212747489
40103,11289,15.424527498,41.6,53253,0.18501026694,0.761190965092
